"1.  Mein Name ist Joachim und ich komme aus Berlin. ", " My name is Joachim and I am from Berlin.", vocabulary-tag
"2.  Es ist nicht immer einfach, vernünftig zu sein . ", " It is not always easy to be reasonable.", vocabulary-tag
"3.  Heute möchte sie ihre Familie in Hamburg besuchen. Sie warten am Bahnhof auf Anna. ", " Today she would like to visit her family in Hamburg. They are waiting at the train station for Anna.", vocabulary-tag
"4.  Der neue Nachbar ist wirklich sehr nett. ", " The new neighbor is really very nice.", vocabulary-tag
"5.  Am Wochenende möchte ich nicht schon wieder schwimmen gehen. ", " On the weekend I do not want to go swimming again.", vocabulary-tag
"6.  Die neue Lehrerin ist noch relativ jung. ", " The new teacher is still relatively young.", vocabulary-tag
"7.  Es ungerecht, dass er die ganze Arbeit allein machen muss. ", " He finds it unjust that he must do all the work by himself.", vocabulary-tag
"8.  Der Film war aufregend und definitiv sehenswert! ", " The film was exciting and definitely worth seeing!", vocabulary-tag
"9.  Man kann im Leben nicht alles haben . ", " One cannot have everything in life.", vocabulary-tag
"10.  Hast du mich vorhin angerufen? ", " Did you call me earlier?", vocabulary-tag
"11.  Sie findet das neue Auto viel besser als das Alte. ", " She finds the new car much better than the old one.", vocabulary-tag
"12.  Nächste Woche werden wir in den Urlaub fahren. ", " Next week we will go on vacation.", vocabulary-tag
"13.  Heute Abend komme ich um 17:00 Uhr zu dir ins Büro. Ich verspreche, dass ich nicht zu spät kommen werde. Um rechtzeitig dort zu sein, werde ich den Zug nehmen. ", " This evening I will come to your office at 17:00 (5 PM). I promise, that I will not arrive too late. In order to get there on time I will take the train.", vocabulary-tag
"14.  Ich habe ein Foto von meiner Frau auf meinem Schreibtisch. ", " I have a photopraph of my wife on my desk.", vocabulary-tag
"15.  Wir wohnen in einem Haus im Stadtzentrum. ", " We live in a house in the city centre.", vocabulary-tag
"16.  Ich kann schwimmen. ", " I am able to Swim.", vocabulary-tag
"17.  Wer hat dir das gesagt? ", " Who told you that?", vocabulary-tag
"18.  Abends stelle ich mein Auto immer in die Garage. ", " In the evening I always put my car in the garage.", vocabulary-tag
"19.  Morgen möchte ich gerne mit meinen Eltern an den See fahren. ", " Tomorrow I would like to go to the lake with my parents.", vocabulary-tag
"20.  Wir kommen aus einem kleinen Dorf. ", " We come from a small village.", vocabulary-tag
"21.  Kannst du mir bitte die Fernbedienung geben? ", " Can you please pass me the remote control?", vocabulary-tag
"22.  Wie geht es dir heute? ", " How are you today?", vocabulary-tag
"23.  Ich habe den Brief gestern abgeschickt. ", " I have posted the letter yesterday.", vocabulary-tag
"24.  Der Laptop steht auf meinem Schreibtisch. ", " The laptop is on my desk.", vocabulary-tag
"25.  Ja , ich denke auch, dass das die beste Lösung ist. ", " Yes , I also think that this is the best solution.", vocabulary-tag
"26.  Kannst du mich vom Flughafen abholen? ", " Can you pick me up from the airport?", vocabulary-tag
"27.  Er sagt, dass er heute nicht zur Arbeit kommen kann. ", " He says that he cannot come to work today.", vocabulary-tag
"28.  Was hat dir Anna zum Geburtstag geschenkt? ", " What did Anna get you for your birthday?", vocabulary-tag
"29.  Das Hotel ist wunderschön, aber unglaublich teuer! ", " The hotel is beautiful, but incredibly expensive!", vocabulary-tag
"30.  Ich finde es so schön, dass wir heute alle zusammen essen. ", " I find it so nice that we are all eating together today.", vocabulary-tag
"31.  Er fliegt nächste Woche nach Australien. ", " He is flying to Australia next week.", vocabulary-tag
"32.  Manche Leute wissen nicht, was sie wollen . ", " Some people do not know what they want .", vocabulary-tag
"33.  Ich glaube, wir waren hier schon einmal. ", " I think we have been here once before.", vocabulary-tag
"34.  Es war eine schöne Überraschung, als du mich besuchen kamst! ", " It was a nice surprise when you came to visit me!", vocabulary-tag
"35.  Ich habe schon lange nichts mehr von dir gehört! ", " I haven’t heard from you in a long time!", vocabulary-tag
"36.  Dieses Buch ist für dich – ich hoffe, es gefällt dir! ", " This book is for you – I hope you like it!", vocabulary-tag
"37.  Sie hat wunderschöne blaue Augen. ", " She has beautiful blue eyes.", vocabulary-tag
"38.  Hast du einen Moment Zeit? ", " Have you got time for a moment?", vocabulary-tag
"39.  Wenn du möchtest, helfe ich dir dabei. Wenn du älter bist, wirst du auch eine Familie wollen. ", " If you like I can help you with that. When you are older, you will also want to have a family.", vocabulary-tag
"40.  Das neue Programm ist gut – es funktioniert ohne Probleme. ", " The new program is good – it works without any problems.", vocabulary-tag
"41.  Ich rufe dich in 10 Minuten an. ", " I will call you in 10 minutes.", vocabulary-tag
"42.  Diese Karte schicke ich zu meinen Eltern. ", " I am sending this card to my parents.", vocabulary-tag
"43.  Wann können wir ins Theater gehen ? ", " When can we go to the theater?", vocabulary-tag
"44.  Wir alle haben viele Dinge, die wir erledigen müssen . ", " We all have many things that we must do.", vocabulary-tag
"45.  Nein , leider habe ich morgen keine Zeit. ", " No , unfortunately I do not have time tomorrow.", vocabulary-tag
"46.  Ihr habt wirklich gute Arbeit geleistet! ", " You did a really good job!", vocabulary-tag
"47.  Er ist Veganer und er isst nur pflanzliche Produkte. ", " He is vegan, and he only eats plant products.", vocabulary-tag
"48.  Es ist schon spät – bist du noch wach? ", " It is already late – are you still awake?", vocabulary-tag
"49.  Das Restaurant ist unglaublich! Da möchte ich gerne essen gehen. ", " This restaurant is incredible! I would like to go and eat there .", vocabulary-tag
"50.  Wieso darf ich das nicht sagen ? ", " Why am I not allowed to say that?", vocabulary-tag
"51.  Siehst du das Tier? Es hat sich selbst in den Schwanz gebissen! ", " Can you see the animal? It just bit itself in the tail!", vocabulary-tag
"52.  Er möchte gerne mit dir reden. ", " He would like to talk to you .", vocabulary-tag
"53.  Mit der neuen Brille kann ich viel besser sehen ! ", " I can see much better with the new glasses!", vocabulary-tag
"54.  Sie bringt uns alle zum Flughafen. ", " She is taking us all to the airport.", vocabulary-tag
"55.  Das Wasserglas ist halb voll. ", " The water glass is half full.", vocabulary-tag
"56.  Was können wir in dieser Situation nur machen ? ", " What can we do in this situation?", vocabulary-tag
"57.  Heute Abend werden viele Leute zur Party kommen . ", " This evening a lot of people will come to the party.", vocabulary-tag
"58.  Im Moment habe ich sehr viel zu tun ! ", " At the moment I have a lot to do !", vocabulary-tag
"59.  Ich würde gerne mehr über die Geschichte der Stadt wissen . ", " I would like to know more about the history of the city.", vocabulary-tag
